epoch	loss	mean_squared_error
0	756.9704757361698	756.97095
1	527.8119997958569	527.81195
2	494.29872471362313	494.2988
3	458.63976970507616	458.63974
4	412.12808096473054	412.12793
5	376.6309079635695	376.6308
6	336.03323567268666	336.03308
7	310.6557287969668	310.65573
8	278.56392750959884	278.56396
9	268.2246758484946	268.22467
10	256.8289605789689	256.8289
11	238.62360250402162	238.62383
12	259.2444511632351	259.24445
13	222.85892100649187	222.85893
14	208.68763993096894	208.68752
15	212.90469141821973	212.90477
16	196.78896398281415	196.78899
17	183.92426114828717	183.92422
18	185.33619431203235	185.33618
19	173.32027546746045	173.32031
20	163.1758666207733	163.17589
21	158.86312089749012	158.863
22	148.7245406929229	148.72456
23	141.9171710189229	141.91718
24	135.35132199986654	135.35141
25	132.796779835481	132.79672
26	131.2098610373202	131.20995
27	128.9997588512411	128.99976
28	125.32766847102815	125.32763
29	120.28105441049327	120.281
30	122.76098025593014	122.760956
31	105.77267428148534	105.772675
32	107.40808595971916	107.408226
33	101.1689099142911	101.16882
34	92.84794239150254	92.84798
35	92.0038919276611	92.00385
36	100.75030894258327	100.75033
37	89.53956263634188	89.53964
38	84.62810977428434	84.62808
39	92.66735816122764	92.66736
40	79.66345597152021	79.66346
41	77.33733938349215	77.33736
42	77.81481645164683	77.814835
43	78.67334363993885	78.67336
44	71.28420849845135	71.2842
45	70.44593819186413	70.44593
46	70.2949438991051	70.294975
47	69.87797755796193	69.87799
48	62.72085425080153	62.72085
49	64.53446702041553	64.53448
50	67.78251564336519	67.78253
51	61.53849201268872	61.538486
52	57.777944511107165	57.777973
53	63.690351379688245	63.690334
54	57.664151048101246	57.66415
55	62.73070759143968	62.730705
56	56.63388957043564	56.633896
57	57.82058749958892	57.820625
58	49.611545559495724	49.611572
59	61.62058174564811	61.620586
60	49.57012300399169	49.570118
61	52.696993210205406	52.697002
62	48.41568260274459	48.41569
63	50.4570520143243	50.45706
64	61.04578744530376	61.045784
65	56.48072105967198	56.48072
66	44.4993830895847	44.499367
67	43.51091626947522	43.51088
68	47.032531021401304	47.03252
69	45.627615438667995	45.62761
